1억Date,1억Open,1억High,1억Low,1억Close,1억MA20,1억MA60,1억MA120,10억Date,10억Open,10억High,10억Low,10억Close,10억MA20,10억MA60,10억MA120,100억Date,100억Open,100억High,100억Low,100억Close,100억MA20,100억MA60,100억MA120
2026-02-16 오후 11:35:06,2280,2312,2273,2280,NaN,NaN,NaN,2026-02-16 오후 11:35:06,2280,2312,2273,2280,NaN,NaN,NaN,2026-02-16 오후 11:35:06,2280,2312,2273,2280,NaN,NaN,NaN
2026-02-17 오전 5:48:29,2280,2317,2277,2298,NaN,NaN,NaN,2026-02-17 오전 5:48:29,2280,2317,2277,2290,NaN,NaN,NaN,2026-02-17 오전 5:48:29,2280,2315,2277,2290,NaN,NaN,NaN
2026-02-17 오후 12:00:27,2304,2324,2285,2288,NaN,NaN,NaN,2026-02-17 오후 12:00:27,2304,2324,2285,2288,NaN,NaN,NaN,2026-02-17 오후 12:00:27,2290,2324,2284,2288,NaN,NaN,NaN
2026-02-17 오후 6:12:13,2300,2310,2270,2282,NaN,NaN,NaN,2026-02-17 오후 6:12:13,2300,2310,2270,2282,NaN,NaN,NaN,2026-02-17 오후 6:12:13,2288,2308,2270,2279,NaN,NaN,NaN
2026-02-18 오전 12:24:13,2283,2308,2267,2277,NaN,NaN,NaN,2026-02-18 오전 12:24:13,2282,2308,2267,2277,NaN,NaN,NaN,2026-02-18 오전 12:24:13,2278,2306,2267,2277,NaN,NaN,NaN
2026-02-18 오전 6:36:23,2277,2309,2267,2277,NaN,NaN,NaN,2026-02-18 오전 6:36:23,2277,2309,2267,2277,NaN,NaN,NaN,2026-02-18 오전 6:36:23,2277,2298,2267,2277,NaN,NaN,NaN
2026-02-18 오후 12:48:44,2280,2299,2250,2257,NaN,NaN,NaN,2026-02-18 오후 12:48:44,2280,2299,2250,2257,NaN,NaN,NaN,2026-02-18 오후 12:48:44,2277,2293,2250,2257,NaN,NaN,NaN
2026-02-18 오후 7:00:22,2257,2276,2231,2244,NaN,NaN,NaN,2026-02-18 오후 7:00:22,2257,2276,2231,2243,NaN,NaN,NaN,2026-02-18 오후 7:00:22,2255,2275,2231,2243,NaN,NaN,NaN
2026-02-19 오전 1:13:57,2244,2278,2242,2255,NaN,NaN,NaN,2026-02-19 오전 1:13:57,2244,2278,2241,2244,NaN,NaN,NaN,2026-02-19 오전 1:13:57,2243,2276,2241,2244,NaN,NaN,NaN
2026-02-19 오전 7:26:50,2250,2282,2240,2282,NaN,NaN,NaN,2026-02-19 오전 7:26:50,2250,2282,2240,2282,NaN,NaN,NaN,2026-02-19 오전 7:26:50,2244,2282,2240,2282,NaN,NaN,NaN
2026-02-19 오후 1:38:46,2272,2297,2253,2280,NaN,NaN,NaN,2026-02-19 오후 1:38:46,2272,2295,2247,2280,NaN,NaN,NaN,2026-02-19 오후 1:38:46,2247,2285,2247,2276,NaN,NaN,NaN
2026-02-19 오후 7:56:09,2280,2298,2255,2280,NaN,NaN,NaN,2026-02-19 오후 7:56:09,2280,2297,2255,2280,NaN,NaN,NaN,2026-02-19 오후 7:56:09,2279,2297,2255,2280,NaN,NaN,NaN
