1억Date,1억Open,1억High,1억Low,1억Close,1억MA20,1억MA60,1억MA120,10억Date,10억Open,10억High,10억Low,10억Close,10억MA20,10억MA60,10억MA120,100억Date,100억Open,100억High,100억Low,100억Close,100억MA20,100억MA60,100억MA120
2026-02-20 오전 2:07:47,2280,2423,2270,2287,NaN,NaN,NaN,2026-02-20 오전 2:07:47,2280,2423,2270,2297,NaN,NaN,NaN,2026-02-20 오전 2:07:47,2276,2423,2275,2298,NaN,NaN,NaN
2026-02-20 오전 8:28:50,2284,2300,2267,2289,NaN,NaN,NaN,2026-02-20 오전 8:28:50,2297,2300,2267,2289,NaN,NaN,NaN,2026-02-20 오전 8:28:50,2298,2300,2267,2298,NaN,NaN,NaN
2026-02-20 오후 2:38:52,2289,2310,2274,2295,NaN,NaN,NaN,2026-02-20 오후 2:38:52,2289,2310,2274,2295,NaN,NaN,NaN,2026-02-20 오후 2:38:52,2298,2310,2275,2305,NaN,NaN,NaN
2026-02-20 오후 8:48:29,2291,2328,2276,2318,NaN,NaN,NaN,2026-02-20 오후 8:48:29,2295,2328,2279,2318,NaN,NaN,NaN,2026-02-20 오후 8:48:29,2303,2328,2279,2327,NaN,NaN,NaN
2026-02-21 오전 2:58:47,2315,2328,2284,2300,NaN,NaN,NaN,2026-02-21 오전 2:58:47,2315,2328,2287,2300,NaN,NaN,NaN,2026-02-21 오전 2:58:47,2327,2328,2287,2322,NaN,NaN,NaN
2026-02-21 오전 9:08:18,2300,2329,2289,2294,NaN,NaN,NaN,2026-02-21 오전 9:08:18,2300,2329,2290,2295,NaN,NaN,NaN,2026-02-21 오전 9:08:18,2322,2329,2292,2295,NaN,NaN,NaN
2026-02-21 오후 3:18:16,2295,2320,2274,2294,NaN,NaN,NaN,2026-02-21 오후 3:18:16,2295,2320,2274,2294,NaN,NaN,NaN,2026-02-21 오후 3:18:16,2295,2320,2274,2295,NaN,NaN,NaN
2026-02-21 오후 9:28:47,2292,2328,2276,2298,2283.75,NaN,NaN,2026-02-21 오후 9:28:47,2292,2329,2276,2298,2283.3,NaN,NaN,2026-02-21 오후 9:28:47,2295,2329,2281,2306,2285.95,NaN,NaN
2026-02-22 오전 3:39:48,2298,2324,2283,2320,2285.75,NaN,NaN,2026-02-22 오전 3:39:48,2306,2324,2283,2320,2285.3,NaN,NaN,2026-02-22 오전 3:39:48,2306,2324,2290,2320,2287.95,NaN,NaN
2026-02-22 오전 9:50:26,2320,2323,2285,2300,2285.85,NaN,NaN,2026-02-22 오전 9:50:26,2320,2323,2289,2300,2285.8,NaN,NaN,2026-02-22 오전 9:50:26,2320,2323,2289,2300,2288.45,NaN,NaN
2026-02-22 오후 4:01:27,2294,2309,2271,2294,2286.15,NaN,NaN,2026-02-22 오후 4:01:27,2294,2309,2271,2294,2286.1,NaN,NaN,2026-02-22 오후 4:01:27,2294,2310,2273,2294,2288.75,NaN,NaN
2026-02-22 오후 10:12:29,2290,2310,2273,2301,2287.1,NaN,NaN,2026-02-22 오후 10:12:29,2290,2310,2274,2301,2287.05,NaN,NaN,2026-02-22 오후 10:12:29,2299,2310,2274,2309,2290.25,NaN,NaN
2026-02-23 오전 4:23:37,2301,2309,2272,2284,2287.45,NaN,NaN,2026-02-23 오전 4:23:37,2309,2309,2275,2284,2287.4,NaN,NaN,2026-02-23 오전 4:23:37,2309,2309,2277,2289,2290.85,NaN,NaN
2026-02-23 오전 10:34:52,2289,2308,2275,2298,2288.5,NaN,NaN,2026-02-23 오전 10:34:52,2289,2308,2275,2298,2288.45,NaN,NaN,2026-02-23 오전 10:34:52,2289,2309,2281,2298,2291.9,NaN,NaN
2026-02-23 오후 4:49:49,2285,2307,2277,2296,2290.45,NaN,NaN,2026-02-23 오후 4:49:49,2298,2307,2277,2300,2290.6,NaN,NaN,2026-02-23 오후 4:49:49,2298,2308,2279,2300,2294.05,NaN,NaN
2026-02-23 오후 11:05:00,2296,2308,2282,2294,2292.95,NaN,NaN,2026-02-23 오후 11:05:00,2300,2308,2284,2294,2293.15,NaN,NaN,2026-02-23 오후 11:05:00,2300,2308,2284,2300,2296.9,NaN,NaN
2026-02-24 오전 5:15:36,2293,2308,2281,2291,2294.75,NaN,NaN,2026-02-24 오전 5:15:36,2294,2308,2281,2300,2295.95,NaN,NaN,2026-02-24 오전 5:15:36,2300,2308,2281,2300,2299.7,NaN,NaN
2026-02-24 오전 11:26:27,2300,2310,2282,2288,2295.05,NaN,NaN,2026-02-24 오전 11:26:27,2300,2310,2282,2292,2296.45,NaN,NaN,2026-02-24 오전 11:26:27,2300,2310,2282,2306,2300.9,NaN,NaN
2026-02-24 오후 5:37:22,2302,2310,2282,2290,2295.55,NaN,NaN,2026-02-24 오후 5:37:22,2305,2310,2282,2290,2296.95,NaN,NaN,2026-02-24 오후 5:37:22,2306,2310,2282,2290,2301.6,NaN,NaN
2026-02-24 오후 11:48:11,2287,2309,2283,2294,2296.25,NaN,NaN,2026-02-24 오후 11:48:11,2287,2309,2283,2305,2298.2,NaN,NaN,2026-02-24 오후 11:48:11,2290,2309,2283,2305,2302.85,NaN,NaN
2026-02-25 오전 5:59:37,2305,2310,2285,2295,2296.65,NaN,NaN,2026-02-25 오전 5:59:37,2305,2310,2285,2295,2298.1,NaN,NaN,2026-02-25 오전 5:59:37,2305,2310,2285,2306,2303.25,NaN,NaN
2026-02-25 오후 12:11:21,2300,2310,2282,2300,2297.2,NaN,NaN,2026-02-25 오후 12:11:21,2300,2310,2282,2306,2298.95,NaN,NaN,2026-02-25 오후 12:11:21,2306,2310,2283,2306,2303.65,NaN,NaN
2026-02-25 오후 6:22:57,2292,2320,2283,2308,2297.85,NaN,NaN,2026-02-25 오후 6:22:57,2306,2320,2283,2308,2299.6,NaN,NaN,2026-02-25 오후 6:22:57,2306,2322,2283,2310,2303.9,NaN,NaN
2026-02-26 오전 12:36:37,2310,2334,2296,2310,2297.45,NaN,NaN,2026-02-26 오전 12:36:37,2310,2334,2296,2333,2300.35,NaN,NaN,2026-02-26 오전 12:36:37,2310,2334,2300,2333,2304.2,NaN,NaN
2026-02-26 오전 6:51:32,2333,2339,2296,2312,2298.05,NaN,NaN,2026-02-26 오전 6:51:32,2333,2339,2297,2332,2301.95,NaN,NaN,2026-02-26 오전 6:51:32,2333,2339,2297,2332,2304.7,NaN,NaN
2026-02-26 오후 1:01:51,2314,2334,2305,2315,2299.1,NaN,NaN,2026-02-26 오후 1:01:51,2314,2334,2306,2315,2302.95,NaN,NaN,2026-02-26 오후 1:01:51,2332,2334,2306,2317,2305.8,NaN,NaN
2026-02-26 오후 7:12:58,2315,2350,2315,2335,2301.15,NaN,NaN,2026-02-26 오후 7:12:58,2315,2350,2315,2335,2305,NaN,NaN,2026-02-26 오후 7:12:58,2317,2350,2317,2338,2307.95,NaN,NaN
2026-02-27 오전 1:24:32,2340,2389,2325,2380,2305.25,NaN,NaN,2026-02-27 오전 1:24:32,2340,2389,2330,2380,2309.1,NaN,NaN,2026-02-27 오전 1:24:32,2340,2389,2335,2380,2311.65,NaN,NaN
2026-02-27 오전 7:35:52,2363,2400,2345,2380,2308.25,NaN,NaN,2026-02-27 오전 7:35:52,2379,2400,2346,2380,2312.1,NaN,NaN,2026-02-27 오전 7:35:52,2380,2400,2347,2381,2314.7,NaN,NaN
2026-02-27 오후 1:46:43,2375,2400,2364,2393,2312.9,NaN,NaN,2026-02-27 오후 1:46:43,2375,2400,2365,2393,2316.75,NaN,NaN,2026-02-27 오후 1:46:43,2381,2400,2368,2398,2319.6,NaN,NaN
2026-02-27 오후 8:01:19,2398,2410,2384,2400,2318.2,NaN,NaN,2026-02-27 오후 8:01:19,2398,2410,2384,2400,2322.05,NaN,NaN,2026-02-27 오후 8:01:19,2398,2410,2384,2406,2325.2,NaN,NaN
2026-02-28 오전 2:16:43,2390,2415,2389,2406,2323.45,NaN,NaN,2026-02-28 오전 2:16:43,2390,2415,2389,2415,2327.75,NaN,NaN,2026-02-28 오전 2:16:43,2390,2418,2390,2417,2330.6,NaN,NaN
