1억Date,1억Open,1억High,1억Low,1억Close,1억MA20,1억MA60,1억MA120,10억Date,10억Open,10억High,10억Low,10억Close,10억MA20,10억MA60,10억MA120,100억Date,100억Open,100억High,100억Low,100억Close,100억MA20,100억MA60,100억MA120
2026-02-16 오후 11:35:06,2280,2324,2270,2282,NaN,NaN,NaN,2026-02-16 오후 11:35:06,2280,2324,2270,2282,NaN,NaN,NaN,2026-02-16 오후 11:35:06,2280,2324,2270,2279,NaN,NaN,NaN
2026-02-18 오전 12:24:13,2283,2309,2231,2244,NaN,NaN,NaN,2026-02-18 오전 12:24:13,2282,2309,2231,2243,NaN,NaN,NaN,2026-02-18 오전 12:24:13,2278,2306,2231,2243,NaN,NaN,NaN
2026-02-19 오전 1:13:57,2244,2298,2240,2280,NaN,NaN,NaN,2026-02-19 오전 1:13:57,2244,2297,2240,2280,NaN,NaN,NaN,2026-02-19 오전 1:13:57,2243,2297,2240,2280,NaN,NaN,NaN
2026-02-20 오전 2:07:47,2280,2423,2267,2318,NaN,NaN,NaN,2026-02-20 오전 2:07:47,2280,2423,2267,2318,NaN,NaN,NaN,2026-02-20 오전 2:07:47,2276,2423,2267,2327,NaN,NaN,NaN
2026-02-21 오전 2:58:47,2315,2329,2274,2298,NaN,NaN,NaN,2026-02-21 오전 2:58:47,2315,2329,2274,2298,NaN,NaN,NaN,2026-02-21 오전 2:58:47,2327,2329,2274,2306,NaN,NaN,NaN
2026-02-22 오전 3:39:48,2298,2324,2271,2301,NaN,NaN,NaN,2026-02-22 오전 3:39:48,2306,2324,2271,2301,NaN,NaN,NaN,2026-02-22 오전 3:39:48,2306,2324,2273,2309,NaN,NaN,NaN
2026-02-23 오전 4:23:37,2301,2309,2272,2294,NaN,NaN,NaN,2026-02-23 오전 4:23:37,2309,2309,2275,2294,NaN,NaN,NaN,2026-02-23 오전 4:23:37,2309,2309,2277,2300,NaN,NaN,NaN
2026-02-24 오전 5:15:36,2293,2310,2281,2294,NaN,NaN,NaN,2026-02-24 오전 5:15:36,2294,2310,2281,2305,NaN,NaN,NaN,2026-02-24 오전 5:15:36,2300,2310,2281,2305,NaN,NaN,NaN
2026-02-25 오전 5:59:37,2305,2334,2282,2310,NaN,NaN,NaN,2026-02-25 오전 5:59:37,2305,2334,2282,2333,NaN,NaN,NaN,2026-02-25 오전 5:59:37,2305,2334,2283,2333,NaN,NaN,NaN
2026-02-26 오전 6:51:32,2333,2389,2296,2380,NaN,NaN,NaN,2026-02-26 오전 6:51:32,2333,2389,2297,2380,NaN,NaN,NaN,2026-02-26 오전 6:51:32,2333,2389,2297,2380,NaN,NaN,NaN
2026-02-27 오전 7:35:52,2363,2415,2345,2406,NaN,NaN,NaN,2026-02-27 오전 7:35:52,2379,2415,2346,2415,NaN,NaN,NaN,2026-02-27 오전 7:35:52,2380,2418,2347,2417,NaN,NaN,NaN
